pop,x,y,status,inftime,rem_time
1,139.24306291467727,105.90179833035013,2,10,13
1,209.5522418250524,231.55432339406116,2,11,14
1,256.04452587007006,121.95497294792699,2,30,33
1,129.99442183641568,295.19246032136704,2,32,35
1,165.23934653450488,144.4423142231095,2,15,18
1,193.7106283774316,271.81111086772034,0,0,0
1,170.92470908798566,269.7377093116172,2,40,43
1,155.84102659330324,261.6625625825923,2,12,15
1,161.89687997540605,224.3954485884627,2,6,9
1,121.9497720945478,286.44140329979,0,0,0
1,165.5979388157428,129.08796436006162,0,0,0
1,185.31920334094258,200.213435199002,2,33,36
1,182.34699569072805,147.8062262909819,2,42,45
1,286.32716784426884,286.3102733173674,2,14,17
1,176.94869449574884,283.74942866956735,2,8,11
1,288.9717965137181,223.8940268562715,0,0,0
1,255.74035848911666,202.0922767655998,2,44,47
1,292.74144774665547,195.55850440270683,2,22,25
1,287.94733375736166,210.2055745400752,0,0,0
1,195.18773256992898,172.934501756862,2,23,26
1,265.3063903800951,229.23451362394496,2,16,19
1,192.06933381799342,222.43149872951722,0,0,0
1,220.75473486062572,222.46337799836104,0,0,0
1,144.20277643418996,162.41331039293738,2,6,9
1,299.3647894186738,101.9148851714711,0,0,0
1,234.8760207836813,294.8130708219936,0,0,0
1,246.17324123788796,234.69850523385654,2,13,16
1,248.5292096658635,294.5675088381393,2,41,44
1,287.0173394413015,136.78260067966914,0,0,0
1,103.97658078850473,213.81893218335466,2,4,7
1,280.75132700511836,232.84974873347647,0,0,0
1,147.2185071712708,265.020104719418,0,0,0
1,181.77614912481638,291.5068278064558,1,48,51
1,271.01883853454694,207.45247153825753,2,17,20
1,197.20475817056186,117.44538500901331,2,9,12
1,117.01475642571666,228.37837434219495,2,5,8
1,187.72504615296896,125.13913328990596,2,14,17
1,243.5444480248713,152.20729646408088,2,15,18
1,119.62264171443357,136.14718743073317,2,11,14
1,295.2697588497627,181.70863709364113,2,21,24
1,168.40218635022268,135.54610674162964,2,17,20
1,150.8044360497791,140.91218679472234,2,4,7
1,263.7534192233919,168.08221436478857,0,0,0
1,181.0913902757008,130.6287735388835,2,8,11
1,213.8338755988088,252.41755333365097,2,13,16
1,233.1572590144424,180.78355882329538,0,0,0
1,182.51424690659087,287.39362523422386,2,10,13
1,209.1683396792659,113.12596321954145,2,14,17
1,213.51655550013845,256.49689890792865,2,33,36
1,158.87440676046558,123.99317826547929,0,0,0
1,124.44989262033424,110.90269183833344,2,8,11
1,269.66757405366536,284.4431664986969,2,21,24
1,154.72284149053743,165.27614147477337,2,41,44
1,113.46904912830347,255.5106939606418,1,51,54
1,240.1255454410103,270.8526517054736,2,15,18
1,130.99393275621028,130.98261396091425,2,7,10
1,255.06933813885357,286.46556881132767,2,24,27
1,263.80903661947985,190.08615586242564,2,10,13
1,256.8977423175367,291.09498172821264,2,21,24
1,255.87335504015195,100.74736555265709,0,0,0
1,166.26743994258885,199.8624104254498,2,46,49
1,280.42039581609487,296.3125505790225,2,26,29
