beta,1.9300563080498763,1.8424902993352839,2.0175981730202377,mod1a,mod1a,a22b2d50h40,14
delta1,0.3762400801415599,0.2678470166118851,0.4753745645757118,mod1a,mod1a,a22b2d50h40,14
delta2,51.37049176100078,38.002240910329846,69.89890338347976,mod1a,mod1a,a22b2d50h40,14
alpha,2.1074157733285586,1.4660251009691407,2.800712865742392,mod1a,mod1a,a22b2d50h40,7
beta,1.9160829656294578,1.8235860396861823,2.0010127133889632,mod1a,mod1a,a22b2d50h40,7
delta1,0.4947874722017126,0.3965496300187424,0.5888442063225007,mod1a,mod1a,a22b2d50h40,7
delta2,45.15267409806639,31.963763107674332,51.00151534109726,mod1a,mod1a,a22b2d50h40,7
alpha,2.3613454300958465,1.688638306929678,3.051333259749131,mod1a,mod1a,a22b2d50h40,11
beta,1.9480159863916278,1.8598708093469374,2.033972814933442,mod1a,mod1a,a22b2d50h40,11
delta1,0.49642938646395396,0.4065111915690683,0.5784529065724363,mod1a,mod1a,a22b2d50h40,11
delta2,39.922061581271,39.06619928664284,40.99920024244444,mod1a,mod1a,a22b2d50h40,11
alpha,2.065482164484422,1.4744383335459927,2.678058192179011,mod1a,mod1a,a22b2d80h40,18
beta,1.916693029059806,1.826188834249429,2.0096147281079504,mod1a,mod1a,a22b2d80h40,18
delta1,0.7789827166265447,0.7411041688477054,0.8164386771415195,mod1a,mod1a,a22b2d80h40,18
delta2,40.958287767093864,37.00164319866148,44.579688592479236,mod1a,mod1a,a22b2d80h40,18
alpha,1.6385686742607182,1.1529812736112037,2.165431747138582,mod1a,mod1a,a22b2d50h40,3
beta,1.8623490078228897,1.7736213247057648,1.9510479279305035,mod1a,mod1a,a22b2d50h40,3
delta1,0.3975421420586627,0.2857345111044428,0.5058870636828482,mod1a,mod1a,a22b2d50h40,3
delta2,43.390092111234395,37.530064647913996,46.99967888239785,mod1a,mod1a,a22b2d50h40,3
alpha,2.1429301665563973,1.5222287004892172,2.8224337088089153,mod1a,mod1a,a22b2d50h40,5
beta,1.9244332415106435,1.8398276622010301,2.009687977504281,mod1a,mod1a,a22b2d50h40,5
delta1,0.44265417768470045,0.3321389628819253,0.5409987001147138,mod1a,mod1a,a22b2d50h40,5
delta2,44.90811438636263,32.405502671761255,52.999631587435616,mod1a,mod1a,a22b2d50h40,5
alpha,2.419910381981531,1.5139955677028956,3.299511888300307,mod1a,mod1a,a22b2d50h40,1
beta,1.9378656447091334,1.8489901247576288,2.027627070280684,mod1a,mod1a,a22b2d50h40,1
delta1,0.5101449691159652,0.3797754923068279,0.6368528157773721,mod1a,mod1a,a22b2d50h40,1
